,detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,measurements
LD13360134,./diamond-details/LD13360134,['2.04'],['Jul 24'],['Jul 27'],"['$9,807']",,"['$4,807']",['Oval'],['SI2'],['K'],['None'],Good,['65.5'],['None'],['1.45'],['Excellent'],['Excellent'],['58.0'],9.98 x 6.87 x 4.50 mm
LD13559779,./diamond-details/LD13559779,['2.01'],['Jul 24'],['Jul 27'],"['$9,785']",,"['$4,868']",['Oval'],['SI2'],['K'],['None'],Good,['56.1'],['None'],['1.35'],['Excellent'],['Excellent'],['64.0'],9.93 x 7.35 x 4.13 mm
LD12807793,./diamond-details/LD12807793,['1.12'],['Jun 24'],['Jun 25'],"['$2,579']",,"['$2,303']",['Oval'],['SI2'],['K'],['None'],Good,['66.2'],['None'],['1.38'],['Good'],['Good'],['54.0'],7.79 x 5.65 x 3.74 mm
LD13287883,./diamond-details/LD13287883,['1.00'],['Jul 24'],['Jul 27'],"['$2,034']",,"['$2,034']",['Oval'],['SI2'],['K'],['None'],Good,['65.7'],['None'],['1.38'],['Excellent'],['Very Good'],['57.0'],7.65 x 5.53 x 3.63 mm
LD13583018,./diamond-details/LD13583018,['3.10'],['Jul 24'],['Jul 27'],"['$18,602']",,"['$6,001']",['Oval'],['SI1'],['K'],['None'],Good,['65.8'],['Strong'],['1.35'],['Excellent'],['Excellent'],['57.0'],11.07 x 8.23 x 5.42 mm
LD13215633,./diamond-details/LD13215633,['2.01'],['Jul 24'],['Jul 27'],"['$9,726']",,"['$4,839']",['Oval'],['SI1'],['K'],['None'],Good,['56.4'],['None'],['1.38'],['Excellent'],['Very Good'],['59.0'],10.30 x 7.46 x 4.21 mm
LD13268168,./diamond-details/LD13268168,['2.01'],['Jul 24'],['Jul 27'],"['$9,726']",,"['$4,839']",['Oval'],['SI1'],['K'],['None'],Good,['55.2'],['Medium'],['1.48'],['Excellent'],['Excellent'],['56.0'],10.67 x 7.19 x 3.97 mm
LD13291223,./diamond-details/LD13291223,['2.01'],['Jul 24'],['Jul 27'],"['$8,552']",,"['$4,255']",['Oval'],['SI1'],['K'],['None'],Good,['66.0'],['Strong'],['1.41'],['Excellent'],['Excellent'],['63.0'],9.83 x 6.98 x 4.61 mm
LD13256674,./diamond-details/LD13256674,['1.00'],['Jul 24'],['Jul 27'],"['$2,333']",,"['$2,333']",['Oval'],['SI1'],['K'],['None'],Good,['68.2'],['Faint'],['1.40'],['Very Good'],['Very Good'],['56.0'],7.64 x 5.45 x 3.72 mm
LD13707485,./diamond-details/LD13707485,['0.70'],['Jul 24'],['Jul 27'],"['$1,123']",,"['$1,604']",['Oval'],['SI1'],['K'],['None'],Good,['66.1'],['Faint'],['1.39'],['Excellent'],['Very Good'],['63.0'],6.88 x 4.96 x 3.28 mm
LD13081079,./diamond-details/LD13081079,['2.01'],['Jun 18'],['Jun 19'],"['$10,793']",,"['$5,370']",['Oval'],['VS2'],['K'],['None'],Good,['65.4'],['None'],['1.46'],['Excellent'],['Very Good'],['58.0'],10.10 x 6.91 x 4.52 mm
LD13478282,./diamond-details/LD13478282,['1.70'],['Jul 24'],['Jul 27'],"['$6,616']",,"['$3,892']",['Oval'],['VS2'],['K'],['None'],Good,['67.3'],['Faint'],['1.49'],['Excellent'],['Very Good'],['57.0'],9.46 x 6.36 x 4.28 mm
LD06487182,./diamond-details/LD06487182,['0.91'],['Jun 24'],['Jun 25'],"['$2,268']",,"['$2,492']",['Oval'],['VS2'],['K'],['None'],Good,['62.9'],['None'],['1.27'],['Good'],['Good'],['65.0'],7.07 x 5.55 x 3.49 mm
LD13877101,./diamond-details/LD13877101,['1.01'],['Jun 24'],['Jun 25'],"['$2,206']",,"['$2,184']",['Oval'],['VS2'],['K'],['None'],Good,['65.4'],['Faint'],['1.29'],['Excellent'],['Very Good'],['57.0'],7.34 x 5.67 x 3.71 mm
LD06487196,./diamond-details/LD06487196,['0.70'],['Jun 24'],['Jun 25'],"['$1,007']",,"['$1,439']",['Oval'],['VS2'],['K'],['None'],Good,['55.1'],['Faint'],['1.45'],['Very Good'],['Good'],['51.0'],7.22 x 4.99 x 2.75 mm
LD10813805,./diamond-details/LD10813805,['1.58'],['Jun 24'],['Jun 25'],"['$6,506']",,"['$4,118']",['Oval'],['VS1'],['K'],['None'],Good,['68.2'],['Medium'],['1.38'],['Excellent'],['Excellent'],['57.0'],8.75 x 6.33 x 4.32 mm
LD12513313,./diamond-details/LD12513313,['1.49'],['Jun 18'],['Jun 19'],"['$5,390']",,"['$3,617']",['Oval'],['VS1'],['K'],['None'],Good,['65.4'],['Medium'],['1.36'],['Excellent'],['Very Good'],['59.0'],8.64 x 6.33 x 4.14 mm
LD13306876,./diamond-details/LD13306876,['1.06'],['Jul 24'],['Jul 27'],"['$2,703']",,"['$2,550']",['Oval'],['VS1'],['K'],['None'],Good,['65.1'],['None'],['1.49'],['Excellent'],['Very Good'],['57.0'],8.15 x 5.47 x 3.56 mm
LD13310925,./diamond-details/LD13310925,['1.00'],['Jul 24'],['Jul 27'],"['$2,490']",,"['$2,490']",['Oval'],['VS1'],['K'],['None'],Good,['65.3'],['None'],['1.36'],['Excellent'],['Very Good'],['57.0'],7.57 x 5.55 x 3.62 mm
LD12199371,./diamond-details/LD12199371,['4.51'],['Jul 7'],['Jul 8'],"['$49,271']",,"['$10,925']",['Oval'],['VVS2'],['K'],['None'],Good,['55.8'],['None'],['1.34'],['Very Good'],['Very Good'],['61.0'],12.58 x 9.36 x 5.22 mm
LD13257655,./diamond-details/LD13257655,['1.00'],['Jul 24'],['Jul 27'],"['$2,439']",,"['$2,439']",['Oval'],['VVS2'],['K'],['None'],Good,['65.6'],['None'],['1.33'],['Excellent'],['Very Good'],['57.0'],7.39 x 5.56 x 3.65 mm
